epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2605.87,0.55349,0.4636,0.82703,0.93662,0.98395,0.995,0.57603,1.27787,0.62572,1.00955,0.000125938,0.000125938,0.000125938
111,2650.91,0.61732,0.48472,0.8567,0.99442,0.98467,0.995,0.59331,1.2974,0.72371,1.04438,0.000115625,0.000115625,0.000115625
112,2674.44,0.5465,0.45606,0.80046,1,0.97424,0.995,0.57575,1.38153,1.0496,1.10759,0.000105312,0.000105312,0.000105312
113,2697.82,0.55973,0.44796,0.84264,1,0.97282,0.995,0.56962,1.40459,0.95459,1.09492,9.5e-05,9.5e-05,9.5e-05
114,5416.94,0.60823,0.47847,0.86349,1,0.96888,0.995,0.56962,1.41588,0.97258,1.07579,8.46875e-05,8.46875e-05,8.46875e-05
115,5421.93,0.55895,0.44666,0.83595,1,0.96873,0.995,0.56962,1.37698,0.95356,1.0588,7.4375e-05,7.4375e-05,7.4375e-05
116,13662.6,0.56134,0.43951,0.84183,1,0.97552,0.995,0.59037,1.32979,0.88049,1.03491,6.40625e-05,6.40625e-05,6.40625e-05
117,13674.7,0.55427,0.43839,0.8438,1,0.98159,0.995,0.58546,1.31845,0.75812,1.03101,5.375e-05,5.375e-05,5.375e-05
118,13679,0.57286,0.44084,0.84842,0.98967,0.98406,0.995,0.58757,1.32506,0.68071,1.02911,4.34375e-05,4.34375e-05,4.34375e-05
119,13683.1,0.53048,0.48931,0.83993,0.98273,0.97736,0.995,0.58343,1.30918,0.66194,1.02247,3.3125e-05,3.3125e-05,3.3125e-05
120,13687.3,0.52075,0.4235,0.78206,1,0.98376,0.995,0.58343,1.30643,0.72671,1.01882,2.28125e-05,2.28125e-05,2.28125e-05
